Time stamp,Contador,DL_B0,DL_B1,DL_B2,DL_B3,DL_B4,DL_B5,DL_B6,DL_B7,DL_B8,DL_B9,DL_B10,DL_B11,DL_B12,DL_B13,DL_B14,DL_B15,DL_B16,DL_B17,DL_B18,DL_B19,DL_B20,DL_B21,DL_B22,DL_B23,DL_B24,DL_B25,DL_B26,DL_B27,DL_B28,DL_B29,DL_B30,DL_B31,DL_B32,DL_B33,DL_B34,DL_B35,UL_B0,UL_B1,UL_B2,UL_B3,UL_B4,UL_B5,UL_B6,UL_B7,UL_B8,UL_B9,UL_B10,UL_B11,UL_B12,UL_B13,UL_B14,UL_B15,UL_B16,UL_B17,UL_B18,UL_B19,UL_B20,UL_B21,UL_B22,UL_B23,UL_B24,UL_B25,UL_B26,UL_B27,UL_B28,UL_B29,UL_B30,UL_B31,UL_B32,UL_B33,UL_B34,UL_B35
Sun Jul 19 10:52:19 2026,1,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,2, 159, 2, 158, 0, 0, 0, 0, 0, 1, 0, 0, 38, 227, 38, 227, 0, 1, 5, 102, 0, 46, 8, 202, 20, 70, 254, 161, 12, 237, 253, 53, 151, 169, 3, 4
Sun Jul 19 10:52:20 2026,2,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,2, 157, 2, 157, 0, 0, 0, 0, 0, 1, 0, 0, 38, 228, 38, 228, 0, 1, 5, 96, 0, 46, 8, 202, 20, 70, 254, 161, 12, 227, 253, 53, 151, 149, 3, 4
Sun Jul 19 10:52:21 2026,3,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,4, 159, 4, 157, 0, 0, 0, 0, 0, 1, 0, 0, 38, 229, 38, 229, 0, 1, 5, 104, 0, 79, 8, 202, 20, 70, 254, 161, 12, 236, 253, 53, 151, 149, 3, 4
Sun Jul 19 10:52:22 2026,4,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,4, 158, 6, 158, 0, 0, 0, 0, 0, 1, 0, 0, 38, 230, 38, 230, 0, 1, 5, 99, 0, 81, 8, 202, 20, 70, 254, 161, 12, 236, 253, 53, 151, 153, 3, 4
Sun Jul 19 10:52:24 2026,5,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,4, 159, 4, 157, 0, 0, 0, 0, 0, 1, 0, 0, 38, 231, 38, 231, 0, 1, 5, 91, 0, 47, 8, 202, 20, 70, 254, 161, 12, 227, 253, 53, 151, 141, 3, 4
Sun Jul 19 10:52:25 2026,6,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,6, 160, 8, 158, 0, 0, 0, 0, 0, 1, 0, 0, 38, 232, 38, 232, 0, 1, 5, 99, 0, 66, 8, 202, 20, 70, 254, 161, 12, 222, 253, 53, 151, 122, 3, 3
Sun Jul 19 10:52:26 2026,7,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,6, 159, 6, 158, 0, 0, 0, 0, 0, 1, 0, 0, 38, 233, 38, 233, 0, 1, 5, 100, 0, 63, 8, 202, 20, 80, 254, 161, 12, 204, 253, 53, 151, 94, 3, 3
Sun Jul 19 10:52:27 2026,8,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,6, 158, 4, 157, 0, 0, 0, 0, 0, 1, 0, 0, 38, 234, 38, 234, 0, 1, 5, 99, 0, 72, 8, 202, 20, 80, 254, 161, 12, 195, 253, 53, 151, 53, 3, 3
Sun Jul 19 10:52:29 2026,9,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,6, 135, 6, 158, 0, 0, 0, 0, 0, 1, 0, 0, 38, 235, 38, 235, 0, 1, 5, 98, 0, 84, 8, 202, 20, 80, 254, 161, 12, 179, 253, 53, 151, 39, 3, 3
Sun Jul 19 10:52:30 2026,10,0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,4, 159, 4, 159, 0, 0, 0, 0, 0, 1, 0, 0, 38, 236, 38, 236, 0, 1, 5, 105, 0, 47, 8, 202, 20, 80, 254, 161, 12, 173, 253, 53, 151, 23, 3, 2
